name,official_name
"forskningsrådet f miljö, areella näringar och samhällsbyggande","Forskningsrådet för miljö, areella näringar och samhällsbyggande"
"forskningsrådet för miljö, arella näringar och samhällsbyggande","Forskningsrådet för miljö, areella näringar och samhällsbyggande"
fortifikationsverket,Fortifikationsverket
fortv,Fortifikationsverket
national fortifications administration,Fortifikationsverket
forum för levande historia,Forum för levande historia
lehist,Forum för levande historia
formum för levande historia,Forum för levande historia
levande historia,Forum för levande historia
försvarets materielverk,Försvarets materielverk
defence materiel administration,Försvarets materielverk
fmv,Försvarets materielverk
försvarets radioanstalt,Försvarets radioanstalt
national defence radio establishment,Försvarets radioanstalt
fra,Försvarets radioanstalt
försvarshögskolan,Försvarshögskolan
national defence college,Försvarshögskolan
fhs,Försvarshögskolan
swedish defence university,Försvarshögskolan
försvarsmakten,Försvarsmakten
swedish armed forces,Försvarsmakten
fm,Försvarsmakten
mil,Försvarsmakten
försvarsunderrättelsedomstolen,Försvarsunderrättelsedomstolen
fud,Försvarsunderrättelsedomstolen
försäkringskassan,Försäkringskassan
fk,Försäkringskassan
swedish social insurance agency,Försäkringskassan
gymnastik- och idrottshögskolan,Gymnastik- och idrottshögskolan
the swedish school of sport and health sciences,Gymnastik- och idrottshögskolan
gih,Gymnastik- och idrottshögskolan
gymnastik och idrottshögskolan,Gymnastik- och idrottshögskolan
ihs,Gymnastik- och idrottshögskolan
idrottshögskolan i stockholm,Gymnastik- och idrottshögskolan
swedish school of sport and health sciences,Gymnastik- och idrottshögskolan
gci,Gymnastik- och idrottshögskolan
g.c.i.,Gymnastik- och idrottshögskolan
gymnastiska centralinstitutet,Gymnastik- och idrottshögskolan
göteborgs universitet,Göteborgs universitet
university of gothenburg,Göteborgs universitet
gu,Göteborgs universitet
filmhögskolan i göteborg,Göteborgs universitet
havs- och vattenmyndigheten,Havs- och vattenmyndigheten
swedish agency for marine and water management,Havs- och vattenmyndigheten
hav,Havs- och vattenmyndigheten
högskolan dalarna,Högskolan Dalarna
dalarna university,Högskolan Dalarna
hdal,Högskolan Dalarna
högskolan i dalarna,Högskolan Dalarna
högskolan i falun-borlänge,Högskolan Dalarna
högskolan i falun/borlänge,Högskolan Dalarna
dalarnas universitet,Högskolan Dalarna
du,Högskolan Dalarna
högskolan i borås,Högskolan i Borås
university college of borås,Högskolan i Borås
hbor,Högskolan i Borås
university of borås,Högskolan i Borås
borås högskola,Högskolan i Borås
hb,Högskolan i Borås
högskolan i gävle,Högskolan i Gävle
university of gävle,Högskolan i Gävle
hig,Högskolan i Gävle
högskolan gävle/sandviken,Högskolan i Gävle
gävle högskola,Högskolan i Gävle
högskolan i halmstad,Högskolan i Halmstad
halmstad university,Högskolan i Halmstad
hh,Högskolan i Halmstad
halmstad university college,Högskolan i Halmstad
halmstad högskola,Högskolan i Halmstad
högskolan i skövde,Högskolan i Skövde
university college of skövde,Högskolan i Skövde
his,Högskolan i Skövde
university of skövde,Högskolan i Skövde
högskolan kristianstad,Högskolan Kristianstad
kristianstad university college,Högskolan Kristianstad
hkr,Högskolan Kristianstad
högskolan i kristianstad,Högskolan Kristianstad
kristianstad university,Högskolan Kristianstad
högskolan väst,Högskolan Väst
university west,Högskolan Väst
hv,Högskolan Väst
högskolan i trollhättan/uddevalla,Högskolan Väst
htu,Högskolan Väst
högskolan i trollhättan-uddevalla,Högskolan Väst
inspektionen för arbetslöshetsförsäkringen,Inspektionen för arbetslöshetsförsäkringen
swedish unemployment insurance board,Inspektionen för arbetslöshetsförsäkringen
iaf,Inspektionen för arbetslöshetsförsäkringen
inspektionen för arbetslöshetsförsäkring,Inspektionen för arbetslöshetsförsäkringen
the swedish unemployment insurance inspectorate,Inspektionen för arbetslöshetsförsäkringen
inspektionen för socialförsäkringen,Inspektionen för socialförsäkringen
the swedish social insurance inspectorate,Inspektionen för socialförsäkringen
isf,Inspektionen för socialförsäkringen
swedish social insurance inspectorate,Inspektionen för socialförsäkringen
inspektionen för strategiska produkter,Inspektionen för strategiska produkter
inspectorate of strategic products,Inspektionen för strategiska produkter
isp,Inspektionen för strategiska produkter
swedish agency for non-proliferation and export controls,Inspektionen för strategiska produkter
inspektionen för vård och omsorg,Inspektionen för vård och omsorg
health and social care inspectorate,Inspektionen för vård och omsorg
ivo,Inspektionen för vård och omsorg
institutet för arbetsmarknads- och utbildningspolitisk utvärdering,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering
institute for labour market policy evaluation - ifau,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering
ifau,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering
institutet för arbetsmarknadspolitisk utvärdering,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering
institutet för arbetsmarknads-och utbildningspolitisk utvärdering,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering
institute for evaluation of labour market and education policy,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering
institutet för mänskliga rättigheter,Institutet för mänskliga rättigheter
institute for human rights,Institutet för mänskliga rättigheter
imr,Institutet för mänskliga rättigheter
the swedish institute for human rights,Institutet för mänskliga rättigheter
institutet för rymdfysik,Institutet för rymdfysik
swedish institute of space physics,Institutet för rymdfysik
irf,Institutet för rymdfysik
institutet för språk och folkminnen,Institutet för språk och folkminnen
institute for language and folklore,Institutet för språk och folkminnen
isof,Institutet för språk och folkminnen
språk- och folkminnesinstitutet,Institutet för språk och folkminnen
sofi,Institutet för språk och folkminnen
swedish institute for language and folklore,Institutet för språk och folkminnen
dialekt- och ortnamnsarkiven samt svenskt visarkiv,Institutet för språk och folkminnen
dova,Institutet för språk och folkminnen
integritetsskyddsmyndigheten,Integritetsskyddsmyndigheten
imy,Integritetsskyddsmyndigheten
datainspektionen,Integritetsskyddsmyndigheten
din,Integritetsskyddsmyndigheten
swedish authority for privacy protection,Integritetsskyddsmyndigheten
justitiekanslern,Justitiekanslern
office of the chancellor of justice,Justitiekanslern
jk,Justitiekanslern
chancellor of justice,Justitiekanslern
jämställdhetsmyndigheten,Jämställdhetsmyndigheten
swedish gender equality agency,Jämställdhetsmyndigheten
jämy,Jämställdhetsmyndigheten
kammarkollegiet,Kammarkollegiet
kamk,Kammarkollegiet
"legal, financial and administrative services agency",Kammarkollegiet
karlstads universitet,Karlstads universitet
kau,Karlstads universitet
universitetet i karlstad,Karlstads universitet
karlstad university,Karlstads universitet
högskolan i karlstad,Karlstads universitet
handelshögskolan vid karlstads universitet,Karlstads universitet
karlstad business school,Karlstads universitet
karlstad universitet,Karlstads universitet
karolinska institutet,Karolinska institutet
ki,Karolinska institutet
carolinska institutet,Karolinska institutet
karolinska mediko-kirurgiska institutet,Karolinska institutet
mediko-kirurgiska institutet,Karolinska institutet
kemikalieinspektionen,Kemikalieinspektionen
national chemicals inspectorare,Kemikalieinspektionen
kemi,Kemikalieinspektionen
swedish chemicals agency,Kemikalieinspektionen
kommerskollegium,Kommerskollegium
national board of trade sweden,Kommerskollegium
komk,Kommerskollegium
national board of trade,Kommerskollegium
kommers,Kommerskollegium
konjunkturinstitutet,Konjunkturinstitutet
national institute of economic research,Konjunkturinstitutet
konj,Konjunkturinstitutet
konkurrensverket,Konkurrensverket
swedish competition authority,Konkurrensverket
kkv,Konkurrensverket
konstfack,Konstfack
"university of arts, crafts and design",Konstfack
kf,Konstfack
gamla konstfack,Konstfack
högre konstindustriella skolan,Konstfack
konstfackskolan,Konstfack
slöjdskolan,Konstfack
tekniska skolan,Konstfack
konstnärsnämnden,Konstnärsnämnden
the arts grants committee,Konstnärsnämnden
kn,Konstnärsnämnden
swedish arts grants committee,Konstnärsnämnden
konsumentverket,Konsumentverket
swedish consumer agency,Konsumentverket
kov,Konsumentverket
kriminalvården,Kriminalvården
swedish prison and probation service,Kriminalvården
kvv,Kriminalvården
kriminalvårdsstyrelsen,Kriminalvården
kriminalvårdsverket,Kriminalvården
kronofogdemyndigheten,Kronofogdemyndigheten
swedish enforcement authority,Kronofogdemyndigheten
kfm,Kronofogdemyndigheten
kronofogdemyndigheterna,Kronofogdemyndigheten
kronofogden,Kronofogdemyndigheten
kungl. biblioteket,Kungl. biblioteket
national library of sweden,Kungl. biblioteket
kb,Kungl. biblioteket
kungliga biblioteket,Kungl. biblioteket
sveriges nationalbibliotek,Kungl. biblioteket
kungl. konsthögskolan,Kungl. Konsthögskolan
royal institute of art,Kungl. Konsthögskolan
kkh,Kungl. Konsthögskolan
kungliga konsthögskolan,Kungl. Konsthögskolan
konsthögskolan,Kungl. Konsthögskolan
kungl. musikhögskolan i stockholm,Kungl. Musikhögskolan i Stockholm
royal college of music in stockholm,Kungl. Musikhögskolan i Stockholm
kmh,Kungl. Musikhögskolan i Stockholm
kungliga musikhögskolan i stockholm,Kungl. Musikhögskolan i Stockholm
kungliga musikhögskolan,Kungl. Musikhögskolan i Stockholm
konservatoriet i stockholm,Kungl. Musikhögskolan i Stockholm
kungliga musikaliska akademiens undervisningsverk,Kungl. Musikhögskolan i Stockholm
kungliga musikkonservatoriet,Kungl. Musikhögskolan i Stockholm
musikaliska akademiens undervisningsverk,Kungl. Musikhögskolan i Stockholm
musikhögskolan i stockholm,Kungl. Musikhögskolan i Stockholm
"musikhögskolan, stockholm",Kungl. Musikhögskolan i Stockholm
musikkonservatoriet,Kungl. Musikhögskolan i Stockholm
musikkonservatoriet i stockholm,Kungl. Musikhögskolan i Stockholm
stockholms musikhögskola,Kungl. Musikhögskolan i Stockholm
stockholms musikkonservatorium,Kungl. Musikhögskolan i Stockholm
kungl. tekniska högskolan,Kungl. Tekniska högskolan
royal institute of technology,Kungl. Tekniska högskolan
kth,Kungl. Tekniska högskolan
kungliga tekniska högskolan,Kungl. Tekniska högskolan
kungliga tekniska högskolan i stockholm,Kungl. Tekniska högskolan
kungliska tekniska högskolan,Kungl. Tekniska högskolan
tekniska högskolan,Kungl. Tekniska högskolan
tekniska högskolan i stockholm,Kungl. Tekniska högskolan
teknologiska institutet,Kungl. Tekniska högskolan
teknologiska institutet i stockholm,Kungl. Tekniska högskolan
kungliga hov- och slottsstaten,Kungliga hov- och slottsstaten
kslott,Kungliga hov- och slottsstaten
kungl. slottsstaten,Kungliga hov- och slottsstaten
kungliga slottsstaten,Kungliga hov- och slottsstaten
kustbevakningen,Kustbevakningen
swedish coast guard,Kustbevakningen
kbv,Kustbevakningen
kärnavfallsfonden,Kärnavfallsfonden
the swedish nuclear waste fund,Kärnavfallsfonden
kafs,Kärnavfallsfonden
kärnavfallsfondens styrelse,Kärnavfallsfonden
nuclear waste fund,Kärnavfallsfonden
lantmäteriet,Lantmäteriet
central office of the national land survey,Lantmäteriet
lm,Lantmäteriet
lantmäteriverket,Lantmäteriet
lmv,Lantmäteriet
lantmäteristyrelsen,Lantmäteriet
lantmäterikontoret,Lantmäteriet
statens lantmäteriverk,Lantmäteriet
linköpings universitet,Linköpings universitet
linköping university,Linköpings universitet
liu,Linköpings universitet
jönköping university,Linköpings universitet
linnéuniversitetet,Linnéuniversitetet
linnaeus university,Linnéuniversitetet
linu,Linnéuniversitetet
lnu,Linnéuniversitetet
linneuniversitetet,Linnéuniversitetet
livsmedelsverket,Livsmedelsverket
national food agency,Livsmedelsverket
slv,Livsmedelsverket
statens livsmedelsverk,Livsmedelsverket
luftfartsverket,Luftfartsverket
swedish airports and air navigation services,Luftfartsverket
lfv,Luftfartsverket
"luftfartsverket, affärsverk",Luftfartsverket
luleå tekniska universitet,Luleå tekniska universitet
luleå university of technology,Luleå tekniska universitet
ltu,Luleå tekniska universitet
högskolan i luleå,Luleå tekniska universitet
luleå tekniska högskola,Luleå tekniska universitet
tekniska högskolan i luleå,Luleå tekniska universitet
lunds universitet,Lunds universitet
lund university,Lunds universitet
lu,Lunds universitet
academia conciliatrix,Lunds universitet
regia academia carolina,Lunds universitet
universitetet i lund,Lunds universitet
läkemedelsverket,Läkemedelsverket
swedish medical products agency,Läkemedelsverket
lv,Läkemedelsverket
länsstyrelsen i blekinge län,Länsstyrelsen i Blekinge län
administrative board of blekinge county,Länsstyrelsen i Blekinge län
lblek,Länsstyrelsen i Blekinge län
blekinge county administrative board,Länsstyrelsen i Blekinge län
länsstyrelsen i dalarnas län,Länsstyrelsen i Dalarnas län
administrative board of dalarna,Länsstyrelsen i Dalarnas län
ldal,Länsstyrelsen i Dalarnas län
länsstyrelsen i dalarna,Länsstyrelsen i Dalarnas län
dalarna county administrative board,Länsstyrelsen i Dalarnas län
länsstyrelsen i gotlands län,Länsstyrelsen i Gotlands län
administrative board of gotland county,Länsstyrelsen i Gotlands län
